,participant,dataset,number,score,rule,solved,hard,p,n,tp,fn,fp,tn,precision,recall,tnr,fnr,accuracy,f1,total_duration,images_mean,images_variance,images_duration,images_duration_min,images_duration_max,pause_mean,pause_variance,pause_duration,pause_duration_min,pause_duration_max
102,11,fp5,12,5.0,1,1,0,5,7,4,1,0,7,1.0,0.8,1.0,0.2,0.9167,0.8889,104.57799999999999,7.822999999999999,10.037,93.87,3.237,14.706,0.973,0.25,10.708,0.6,2.324
103,11,fp1,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,59.756,8.003,5.886,56.023999999999994,3.88,10.914000000000001,0.622,0.006999999999999999,3.7319999999999998,0.524,0.7120000000000001
104,11,svrt20,14,7.0,1,1,0,6,8,5,1,2,6,0.7143,0.8333,0.75,0.1667,0.7857,0.7692,119.053,7.602,33.648,106.428,2.031,19.684,0.971,0.06,12.625,0.726,1.6680000000000001
105,11,svrt21,35,,0,0,0,17,18,11,6,9,9,0.55,0.6471,0.5,0.3529,0.5714,0.5946,252.295,6.364,16.92,222.738,1.198,18.654,0.8690000000000001,0.125,29.557,0.52,2.431
106,11,cr5,31,24.0,0,1,1,15,16,11,4,6,10,0.6471,0.7333,0.625,0.2667,0.6774,0.6875,495.36400000000003,15.235,209.183,472.272,2.719,52.173,0.77,0.047,23.092,0.518,1.3630000000000002
107,11,cr1,18,11.0,0,1,1,8,10,8,0,2,8,0.8,1.0,0.8,0.0,0.8889,0.8889,272.068,13.69,47.736000000000004,246.419,6.65,34.34,1.5090000000000001,7.5760000000000005,25.649,0.561,12.107999999999999
108,12,sr,35,,0,0,0,18,17,8,10,10,7,0.4444,0.4444,0.4118,0.5556,0.4286,0.4444,395.011,9.316,82.196,326.076,1.598,39.233,2.028,1.281,68.935,0.8059999999999999,5.56
109,12,svrt1,7,0.0,1,1,0,5,2,5,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,26.609,2.813,2.13,19.689,1.635,5.7410000000000005,1.153,0.213,6.92,0.736,1.981
110,12,rbp5,35,,0,0,0,18,17,9,9,13,4,0.4091,0.5,0.2353,0.5,0.3714,0.45,533.0509999999998,12.008,176.695,420.297,1.494,54.01300000000001,3.3160000000000003,28.5,112.754,0.677,23.421
111,12,rbp1,16,9.0,0,1,1,10,6,9,1,1,5,0.9,0.9,0.8333,0.1,0.875,0.9,395.9,22.514,164.053,360.224,5.444,51.609,2.378,33.736,35.676,0.665,23.347
112,12,sd,8,1.0,1,1,0,6,2,6,0,1,1,0.8571,1.0,0.5,0.0,0.875,0.9231,37.345,3.785,3.13,30.276,1.924,7.457000000000002,1.01,0.163,7.069,0.6890000000000001,1.869
113,12,svrt19,10,3.0,1,1,0,6,4,5,1,1,3,0.8333,0.8333,0.75,0.1667,0.8,0.8333,34.431,2.186,2.251,21.864,1.114,6.039,1.396,2.166,12.567,0.63,5.14
114,12,fp5,7,0.0,1,1,0,3,4,3,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,127.255,17.483,254.316,122.379,3.391,42.285,0.813,0.061,4.876,0.615,1.295
115,12,fp1,7,0.0,1,1,0,2,5,2,0,0,5,1.0,1.0,1.0,0.0,1.0,1.0,87.728,11.901,51.347,83.309,3.696,22.992,0.736,0.02,4.419,0.611,0.969
116,12,svrt20,14,7.0,1,1,1,6,8,4,2,1,7,0.8,0.6667,0.875,0.3333,0.7857,0.7273,105.956,6.0779999999999985,42.585,85.09700000000002,1.3430000000000002,25.856,1.605,5.061,20.859,0.648,9.031
117,12,svrt21,13,6.0,1,1,0,7,6,7,0,1,5,0.875,1.0,0.8333,0.0,0.9231,0.9333,65.392,4.337,9.134,56.375,1.721,13.16,0.7509999999999999,0.043,9.017,0.583,1.368
118,12,cr5,35,,0,0,0,18,17,11,7,9,8,0.55,0.6111,0.4706,0.3889,0.5429,0.5789,647.102,16.829,373.74300000000005,589.012,1.39,80.98,1.709,5.607,58.09,0.696,14.49
