,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
626,6,sr,5843_1_1,21,1,1,3.995,0.95,4.0,14.0,0.0,240.0,8.0,192.27705627705623,306.70129870129864,375.1341991341992,190.33766233766227
627,6,sr,3483_1_1,22,1,1,6.4110000000000005,1.083,4.0,8.0,0.0,385.0,4.0,80.06926406926401,245.7489177489177,192.27705627705623,276.22510822510816
628,6,sr,3330_0_1,23,0,1,3.361,1.4169999999999998,3.0,8.0,0.0,201.0,4.0,188.12121212121207,303.9307359307358,283.70562770562765,382.8917748917749
629,6,sr,9465_0_1,24,0,1,10.302999999999999,1.6230000000000002,5.0,9.0,38.02,605.0,15.0,215.82683982683983,29.64502164502153,221.36796536796533,172.32900432900425
630,6,sr,4061_0_0,25,0,0,17.655,2.017,7.0,23.0,7.96,1055.0,13.0,174.26839826839824,130.77056277056266,260.15584415584414,216.65800865800853
631,6,sr,7090_1_1,26,1,1,2.759,2.908,3.0,5.0,9.76,164.0,8.0,376.51948051948057,431.3766233766234,488.7272727272728,396.7445887445888
632,6,sr,364_0_0,27,0,0,2.045,0.833,4.0,7.0,0.0,123.0,7.0,274.008658008658,29.64502164502153,287.86147186147184,159.86147186147178
633,6,sr,2865_1_1,28,1,1,1.5419999999999998,0.616,0.0,4.0,2.15,93.0,2.0,351.5844155844156,177.8701298701298,461.0216450216451,201.41991341991334
634,6,sr,6901_1_0,29,1,0,1.489,0.583,2.0,5.0,1.12,89.0,2.0,294.7878787878788,344.10389610389603,193.66233766233762,414.7532467532467
635,6,sr,570_0_0,30,0,0,1.665,1.484,3.0,7.0,9.0,100.0,3.0,256.0,211.11688311688306,225.52380952380955,349.6450216450216
636,6,sr,3198_0_0,31,0,1,7.318,0.65,5.0,20.0,5.24,439.0,8.0,189.50649350649346,337.1774891774891,168.7272727272727,459.0822510822511
637,6,sr,1146_1_1,32,1,1,2.131,2.3169999999999997,3.0,7.0,30.65,124.0,4.0,267.0822510822511,130.77056277056266,132.70995670995666,151.54978354978348
638,6,sr,2412_0_1,33,0,1,1.25,0.6829999999999999,2.0,3.0,24.0,75.0,2.0,268.46753246753246,245.7489177489177,211.67099567099564,338.5627705627705
639,6,sr,8474_0_0,34,0,0,20.648000000000003,2.234,10.0,25.0,9.14,1237.0,17.0,179.80952380952382,337.1774891774891,181.19480519480518,485.4025974025973
640,6,sr,6634_0_1,35,0,1,4.68,0.9840000000000001,4.0,11.0,3.21,280.0,4.0,344.65800865800867,272.06926406926397,328.03463203463207,423.064935064935
641,6,svrt1,sample_0_4189,1,0,1,1.973,0.0,4.0,8.0,0.84,119.0,4.0,239.37662337662326,205.57575757575748,159.030303030303,352.4155844155844
642,6,svrt1,sample_0_1153,2,0,0,19.914,1.5,12.0,34.0,15.48,1195.0,16.0,373.7489177489177,127.99999999999987,287.86147186147184,216.65800865800853
643,6,svrt1,sample_1_1298,3,1,0,1.6340000000000001,2.387,1.0,2.0,47.0,100.0,7.0,425.00432900432907,218.04329004329,333.5757575757576,298.3896103896103
644,6,svrt1,sample_1_3801,4,1,1,0.9620000000000001,1.5659999999999998,0.0,1.0,31.58,57.0,0.0,355.7402597402597,303.9307359307358,469.33333333333337,297.0043290043289
645,6,svrt1,sample_1_2291,5,1,0,1.068,1.683,1.0,2.0,0.0,64.0,4.0,310.02597402597405,230.51082251082244,409.76623376623377,302.5454545454545
646,6,svrt1,sample_1_2399,6,1,1,2.583,2.017,0.0,4.0,0.0,155.0,7.0,242.1471861471861,348.2597402597402,106.38961038961037,334.4069264069264
647,6,svrt1,sample_0_4257,7,0,0,1.093,0.867,2.0,3.0,1.54,65.0,4.0,350.1991341991342,206.96103896103887,195.047619047619,313.62770562770555
648,6,svrt1,sample_0_3463,8,0,0,1.115,0.55,2.0,3.0,1.49,67.0,2.0,398.6839826839826,241.59307359307357,211.67099567099564,334.4069264069264
649,6,svrt1,sample_1_4406,9,1,1,1.166,1.217,0.0,4.0,0.0,70.0,4.0,283.70562770562765,308.08658008658,472.1038961038962,291.4632034632034
650,6,svrt1,sample_0_3193,10,0,0,0.825,0.65,1.0,4.0,0.0,50.0,2.0,271.23809523809524,212.50216450216442,443.0129870129872,229.12554112554108
651,6,svrt1,sample_1_4290,11,1,1,0.743,0.617,1.0,3.0,0.0,44.0,2.0,231.0649350649351,276.22510822510816,197.8181818181818,414.7532467532467
652,6,svrt1,sample_0_4388,12,0,0,0.835,0.5670000000000001,2.0,3.0,2.0,50.0,2.0,131.3246753246753,263.7575757575757,289.24675324675326,94.75324675324669
653,6,rbp5,single_chess_mirror_00277,1,1,0,2.7969999999999997,0.0,3.0,10.0,2.38,168.0,3.0,168.7272727272727,272.06926406926397,366.8225108225108,256.83116883116884
654,6,rbp5,single_chess_nomirror_00291,2,0,0,3.637,1.883,2.0,9.0,0.0,218.0,2.0,214.4415584415584,238.8225108225108,454.0952380952382,230.51082251082244
655,6,rbp5,single_chess_mirror_00304,3,1,1,1.3159999999999998,1.25,0.0,2.0,0.0,79.0,0.0,153.48917748917745,278.9956709956709,409.76623376623377,269.29870129870125
656,6,rbp5,single_chess_mirror_00251,4,1,0,1.665,0.983,1.0,3.0,6.0,100.0,2.0,24.658008658008583,211.11688311688306,247.6883116883117,224.96969696969688
657,6,rbp5,single_chess_mirror_00135,5,1,1,2.141,1.7830000000000001,0.0,5.0,0.0,128.0,0.0,70.37229437229433,302.5454545454545,406.99567099567116,297.0043290043289
658,6,rbp5,single_chess_nomirror_00019,6,0,1,1.225,0.8170000000000001,0.0,2.0,0.0,74.0,0.0,142.40692640692637,273.4545454545454,404.22510822510816,262.3722943722944
659,6,rbp5,single_chess_mirror_00247,7,1,1,8.96,10.732999999999999,2.0,8.0,0.19,537.0,11.0,163.1861471861471,298.3896103896103,276.7792207792208,417.5238095238095
660,6,rbp5,single_chess_nomirror_00334,8,0,1,2.377,1.6669999999999998,2.0,6.0,0.0,143.0,10.0,98.07792207792204,198.6493506493506,375.1341991341992,193.10822510822499
661,6,rbp5,single_chess_nomirror_00101,9,0,1,10.205,10.867,4.0,21.0,5.56,612.0,4.0,95.30735930735926,241.59307359307357,339.11688311688323,251.2900432900433
662,6,rbp5,single_chess_mirror_00445,10,1,0,11.048,4.127,3.0,8.0,4.22,663.0,15.0,260.15584415584414,137.69696969696963,261.54112554112555,416.13852813852805
663,6,rbp5,single_chess_nomirror_00131,11,0,0,37.559,21.729,10.0,38.0,5.06,2253.0,14.0,203.35930735930737,177.8701298701298,346.0432900432901,297.0043290043289
664,6,rbp5,single_chess_nomirror_00127,12,0,0,6.181,0.8490000000000001,1.0,16.0,0.54,371.0,3.0,219.982683982684,190.33766233766227,215.82683982683983,410.59740259740255
665,6,rbp5,single_chess_mirror_00321,13,1,0,3.187,0.65,1.0,7.0,1.04,192.0,7.0,38.510822510822436,315.01298701298697,312.7965367965368,324.7099567099566
666,6,rbp5,single_chess_mirror_00413,14,1,1,36.408,21.995,8.0,27.0,4.0,2176.0,60.0,164.57142857142856,258.21645021645014,480.4155844155845,266.52813852813847
667,6,rbp5,single_chess_nomirror_00212,15,0,0,2.826,0.915,0.0,3.0,1.18,170.0,4.0,215.82683982683983,233.28138528138518,236.60606060606065,459.0822510822511
668,6,rbp5,single_chess_mirror_00344,16,1,1,10.915,0.633,1.0,8.0,3.52,654.0,10.0,70.37229437229433,287.30735930735926,438.8571428571429,290.077922077922
669,6,rbp5,single_chess_mirror_00329,17,1,1,5.9460000000000015,0.65,6.0,19.0,0.56,357.0,28.0,21.887445887445807,195.87878787878785,413.922077922078,205.57575757575748
670,6,rbp5,single_chess_mirror_00340,18,1,1,8.79,1.35,4.0,20.0,4.17,528.0,15.0,204.74458874458873,247.13419913419904,455.4805194805197,233.28138528138518
671,6,rbp5,single_chess_nomirror_00403,19,0,0,2.013,1.483,2.0,7.0,0.0,121.0,6.0,123.01298701298694,229.12554112554108,369.59307359307365,230.51082251082244
672,6,rbp5,single_chess_nomirror_00450,20,0,0,14.257,0.5670000000000001,10.0,40.0,1.99,856.0,12.0,197.8181818181818,227.74025974025972,437.4718614718615,278.9956709956709
673,6,rbp1,single_chess_nomirror_00171,1,0,1,9.347999999999999,0.0,3.0,23.0,9.84,569.0,9.0,296.17316017316017,276.22510822510816,192.27705627705623,370.4242424242424
674,6,rbp1,single_chess_nomirror_00252,2,0,1,4.643,1.466,3.0,14.0,4.32,278.0,5.0,197.8181818181818,86.44155844155836,199.20346320346317,313.62770562770555
